run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v2_ridge_score128_01,2,128,0.1255827215500176,0.6282590925693512,0.2109375,0.004912187265290361,0.00214340879028891
v2_ridge_score_canary_01,1,4,-11.257886663079262,-1.8288956880569458,0.75,0.00418937997892495,0.01304708328098055
v2_ridge_score_canary_01,2,4,0.26353561878204346,0.3889504969120025,0.25,0.005902391392737575,0.0033890265040099
v3_banded_quality128_01,1,128,0.4268475277349353,0.7991151511669159,0.125,0.00832393586460962,0.002048608184850262
v3_banded_quality128_01,2,128,0.25939790718257427,0.6321676671504974,0.1953125,0.004912187265290361,0.002111998197506135
v3_five_edge_canary_01,1,4,-11.438554510474205,-1.9227694272994995,0.75,0.00418937997892495,0.013482461683452074
v3_five_edge_canary_01,2,4,0.29236024618148804,0.28807294368743896,0.5,0.005902391392737575,0.002370043657720025
v3_five_edge_canary_01,3,4,-2.2581738084554672,-1.1540462970733643,0.75,0.00360543397255235,0.0042153249960392245
v3_five_edge_canary_01,4,4,-0.18712763488292697,0.8837074041366577,0.25,0.014155847486108474,0.0017517597880214002
v3_five_edge_canary_01,5,4,-0.31027910113334656,-0.07871234416961673,0.5,0.0044565133284777,0.0040983618237077505
v3_five_edges512_01,1,512,0.2809942776802927,0.8181841969490051,0.09765625,0.008972102177722215,0.001974597524167573
v3_five_edges512_01,2,512,0.160316419089213,0.6565909385681152,0.203125,0.0048336370236938325,0.0018821313569787421
v3_five_edges512_01,3,512,0.011266994173638516,0.6455593705177307,0.197265625,0.00554752159223421,0.0022598837622353563
v3_five_edges512_01,4,512,0.6834173812530935,0.8607999384403229,0.0546875,0.021532517657760715,0.004219915277644712
v3_five_edges512_01,5,512,-0.31869528524111956,0.5640652477741241,0.236328125,0.004621846612280886,0.00221595291804983
v3_frozen_eval_canary_01,1,8,-0.4165326878428459,0.7517359554767609,0.25,0.005081432289443875,0.0018017148831858624
v3_frozen_eval_canary_01,2,8,-0.01648057997226715,0.667584240436554,0.125,0.008673484087921637,0.003327545942738587
v3_quality128_01,1,128,0.4268475277349353,0.7991151511669159,0.125,0.00832393586460962,0.002048608184850262
